,expert,platform,model_based,lab,skeptical
2026,"{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}"
2027,"{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}"
2028,"{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}"
2029,"{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}"
2030,"{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'B', 'exposure_multiplier': 1.5, 'confidence': 0.7}"
2031,"{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}"
2032,"{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}"
2033,"{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}"
2034,"{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}"
2035,"{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'C', 'exposure_multiplier': 2.0, 'confidence': 0.7}"
