country_iso3,composite_exposure,overall_score
AUS,0.45,0.6762
AUT,0.514,0.6532
BEL,0.543,0.5322
BGR,0.787,0.1332
CAN,0.434,0.7444
CYP,0.762,0.2411
CZE,0.634,0.4636
DEU,0.439,0.68
DNK,0.378,0.8759
ESP,0.655,0.3772
EST,0.421,0.7675
FIN,0.357,0.8898
FRA,0.462,0.5693
GBR,0.424,0.6955
GRC,0.767,0.2175
HKG,0.533,0.5735
HUN,0.767,0.2195
IRL,0.437,0.7003
ISL,0.508,0.6818
ISR,0.534,0.5718
ITA,0.655,0.3769
JPN,0.449,0.7513
KOR,0.46,0.7451
LTU,0.662,0.3476
LUX,0.514,0.652
LVA,0.652,0.386
MKD,0.809,0.0423
MLT,0.659,0.358
NLD,0.397,0.797
NOR,0.363,0.8646
NZL,0.521,0.6238
POL,0.663,0.3436
PRT,0.653,0.385
ROU,0.796,0.0967
SGP,0.371,0.8336
SVK,0.765,0.2288
SVN,0.644,0.4214
SWE,0.4,0.7844
USA,0.408,0.6718
