country_iso3,AI_Literacy_score,AI_Literacy_coverage,AI_Literacy_available,Critical_Discernment_score,Critical_Discernment_coverage,Critical_Discernment_available,Institutional_Governance_score,Institutional_Governance_coverage,Institutional_Governance_available,Digital_Infrastructure_score,Digital_Infrastructure_coverage,Digital_Infrastructure_available,overall_score,status
AUS,0.7637283127295412,1.0,4,0.6736048971518084,1.0,3,0.6983913191261965,1.0,5,0.5693364343721719,1.0,5,0.6762652408449294,Moderate capacity
AUT,0.6975931285122691,1.0,4,0.638799074149127,1.0,3,0.6478342399241448,1.0,5,0.6287382997162659,1.0,5,0.6532411855754517,Moderate capacity
BEL,0.5010770399187263,1.0,4,0.45789978153381955,1.0,3,0.5481715540023615,1.0,5,0.6216169440622142,1.0,5,0.5321913298792804,Developing capacity
BGR,0.08714999985794138,1.0,4,0.10747285485703428,1.0,3,0.09535058420653886,1.0,5,0.2426088729184448,1.0,5,0.13314557795998982,Limited capacity
CAN,0.664879232678223,1.0,4,0.8276268272255428,1.0,3,0.7733257115316644,1.0,5,0.711870343394423,1.0,5,0.7444255287074633,Moderate capacity
CYP,0.12739041438309645,1.0,4,0.3023036517876992,1.0,3,0.2624679729538396,1.0,5,0.2721117687352015,1.0,5,0.24106845196495919,Limited capacity
CZE,0.36850411050738974,1.0,4,0.544884390877494,1.0,3,0.5548062082675307,1.0,5,0.3861870385864469,1.0,5,0.4635954370597153,Developing capacity
DEU,0.7198255492280985,1.0,4,0.6217192292989754,1.0,3,0.6996720100550096,1.0,5,0.6790057446817046,1.0,5,0.6800556333159471,Moderate capacity
DNK,0.8634584116875866,1.0,4,0.875606448269501,1.0,3,0.9648629282118861,1.0,5,0.7994949923336238,1.0,5,0.8758556951256494,Strong capacity
ESP,0.2139452334031769,1.0,4,0.4130367436667413,1.0,3,0.4483956864984009,1.0,5,0.43361199124408556,1.0,5,0.3772474137031011,Limited capacity
EST,0.816703033255682,1.0,4,0.7871980429812755,1.0,3,0.6804892842520643,1.0,5,0.7856889471347406,1.0,5,0.7675198269059407,Moderate capacity
FIN,0.9076361478271466,1.0,4,0.9890187172744423,1.0,3,0.9106109461195672,1.0,5,0.752165359955179,1.0,5,0.8898577927940838,Strong capacity
FRA,0.4806222090168835,1.0,4,0.5588727308500719,1.0,3,0.6462579370254274,1.0,5,0.591367758441316,1.0,5,0.5692801588334248,Developing capacity
