country_iso3,overall_score,core_pillars_available,overall_coverage,status,AI_Literacy_score,AI_Literacy_coverage,Critical_Discernment_score,Critical_Discernment_coverage,Institutional_Governance_score,Institutional_Governance_coverage,Digital_Infrastructure_score,Digital_Infrastructure_coverage
AUS,0.6914,4,0.9412,Moderate capacity,0.7498,1.0,0.7482,0.6667,0.6984,1.0,0.5693,1.0
AUT,0.6521,4,1.0,Moderate capacity,0.6794,1.0,0.6524,1.0,0.6478,1.0,0.6288,1.0
BEL,0.5298,4,1.0,Developing capacity,0.4749,1.0,0.4744,1.0,0.5482,1.0,0.6216,1.0
BGR,0.136,4,0.9412,Limited capacity,0.0881,0.75,0.1182,1.0,0.0953,1.0,0.2426,1.0
CAN,0.7488,4,0.9412,Moderate capacity,0.6535,1.0,0.8564,0.6667,0.7733,1.0,0.7119,1.0
CYP,0.2171,4,0.8235,Limited capacity,0.1206,0.75,0.238,0.6667,0.2377,0.8,0.2721,1.0
CZE,0.461,4,1.0,Developing capacity,0.342,1.0,0.561,1.0,0.5548,1.0,0.3862,1.0
DEU,0.683,4,1.0,Moderate capacity,0.7208,1.0,0.6325,1.0,0.6997,1.0,0.679,1.0
DNK,0.8763,4,1.0,Strong capacity,0.859,1.0,0.8818,1.0,0.9649,1.0,0.7995,1.0
ESP,0.3766,4,1.0,Limited capacity,0.1954,1.0,0.4291,1.0,0.4484,1.0,0.4336,1.0
EST,0.7665,4,1.0,Moderate capacity,0.8051,1.0,0.7949,1.0,0.6805,1.0,0.7857,1.0
FIN,0.8886,4,1.0,Strong capacity,0.9026,1.0,0.989,1.0,0.9106,1.0,0.7522,1.0
FRA,0.5671,4,1.0,Developing capacity,0.4571,1.0,0.5734,1.0,0.6463,1.0,0.5914,1.0
GBR,0.6927,4,1.0,Moderate capacity,0.4983,1.0,0.8254,1.0,0.7152,1.0,0.732,1.0
GRC,0.2165,4,1.0,Limited capacity,0.2234,1.0,0.1898,1.0,0.2161,1.0,0.2366,1.0
HKG,0.5947,4,0.9412,Developing capacity,0.8382,1.0,0.6996,0.6667,0.0983,1.0,0.7426,1.0
HUN,0.2156,4,1.0,Limited capacity,0.1972,1.0,0.2655,1.0,0.1181,1.0,0.2817,1.0
IRL,0.7016,4,1.0,Moderate capacity,0.7197,1.0,0.7,1.0,0.6451,1.0,0.7417,1.0
ISL,0.6941,4,0.8235,Moderate capacity,0.5349,0.75,0.7379,0.6667,0.7897,0.8,0.7138,1.0
ISR,0.5904,4,0.9412,Developing capacity,0.5655,1.0,0.7336,0.6667,0.4022,1.0,0.6605,1.0
ITA,0.3749,4,1.0,Limited capacity,0.2677,1.0,0.3924,1.0,0.3179,1.0,0.5215,1.0
JPN,0.7525,4,0.9412,Moderate capacity,0.8144,1.0,0.737,0.6667,0.6702,1.0,0.7884,1.0
KOR,0.7279,4,0.9412,Moderate capacity,0.8212,1.0,0.639,0.6667,0.5923,1.0,0.8591,1.0
LTU,0.3453,4,1.0,Limited capacity,0.3776,1.0,0.3086,1.0,0.3487,1.0,0.3463,1.0
LUX,0.6669,4,0.9412,Moderate capacity,0.5376,1.0,0.6043,0.6667,0.8365,1.0,0.6894,1.0
LVA,0.3857,4,1.0,Limited capacity,0.3346,1.0,0.4328,1.0,0.4216,1.0,0.3539,1.0
MKD,0.0393,4,0.8824,Limited capacity,0.0275,0.75,0.0876,1.0,0.0209,0.8,0.0212,1.0
MLT,0.3581,4,0.8235,Limited capacity,0.2933,0.75,0.523,0.6667,0.2063,0.8,0.41,1.0
NLD,0.7973,4,1.0,Moderate capacity,0.8509,1.0,0.7713,1.0,0.8119,1.0,0.7552,1.0
NOR,0.8644,4,1.0,Strong capacity,0.7777,1.0,0.8888,1.0,0.8736,1.0,0.9174,1.0
NZL,0.6357,4,0.9412,Moderate capacity,0.5488,1.0,0.6551,0.6667,0.8042,1.0,0.5346,1.0
POL,0.341,4,1.0,Limited capacity,0.2636,1.0,0.4074,1.0,0.2879,1.0,0.4051,1.0
PRT,0.3831,4,1.0,Limited capacity,0.2243,1.0,0.3869,1.0,0.4859,1.0,0.4353,1.0
ROU,0.0941,4,0.9412,Limited capacity,0.0377,0.75,0.0242,1.0,0.193,1.0,0.1215,1.0
SGP,0.8217,4,0.9412,Strong capacity,0.9208,1.0,0.8452,0.6667,0.6332,1.0,0.8876,1.0
SVK,0.2282,4,1.0,Limited capacity,0.1983,1.0,0.2044,1.0,0.2121,1.0,0.2982,1.0
SVN,0.4187,4,1.0,Developing capacity,0.3959,1.0,0.4537,1.0,0.3336,1.0,0.4915,1.0
SWE,0.7819,4,1.0,Moderate capacity,0.6775,1.0,0.8459,1.0,0.8935,1.0,0.7108,1.0
USA,0.6843,4,0.9412,Moderate capacity,0.502,1.0,0.6197,0.6667,0.6952,1.0,0.9202,1.0
