,crossing_year,years_until_crossing
AUS,2154.0,128.0
AUT,2090.0,64.0
BEL,2065.0,39.0
BGR,2026.0,0.0
CAN,2164.0,138.0
CYP,2026.0,0.0
CZE,2026.0,0.0
DEU,2144.0,118.0
DNK,2228.0,202.0
ESP,2026.0,0.0
EST,2182.0,156.0
FIN,2241.0,215.0
FRA,2117.0,91.0
GBR,2142.0,116.0
GRC,2026.0,0.0
HKG,2066.0,40.0
HUN,2026.0,0.0
IRL,2168.0,142.0
ISL,2091.0,65.0
ISR,2063.0,37.0
ITA,2026.0,0.0
JPN,2144.0,118.0
KOR,2148.0,122.0
LTU,2026.0,0.0
LUX,2098.0,72.0
LVA,2026.0,0.0
MKD,2026.0,0.0
MLT,2026.0,0.0
NLD,2211.0,185.0
NOR,2241.0,215.0
NZL,2085.0,59.0
POL,2026.0,0.0
PRT,2026.0,0.0
ROU,2026.0,0.0
SGP,2230.0,204.0
SVK,2026.0,0.0
SVN,2026.0,0.0
SWE,2200.0,174.0
USA,2174.0,148.0
