country_iso3,AI_LIT_001,AI_LIT_002,AI_LIT_004,AI_LIT_005,META_COG_001,META_COG_002,META_COG_003,DEC_AGY_001,DEC_AGY_002,DEC_AGY_003,DEC_AGY_004,DEC_AGY_005,ENAB_001,ENAB_002,ENAB_003,ENAB_004,ENAB_005
AUS,0.6538,0.666,0.8077,0.8718,0.5872,,0.9091,0.82,0.6843,0.7514,0.5354,0.7009,0.7919,0.4397,0.4824,0.6049,0.5278
AUT,0.5642,0.5508,0.7051,0.8974,0.6756,0.6272,0.6545,0.6426,0.8129,0.7017,0.4882,0.5938,0.7072,0.5603,0.6471,0.6111,0.6181
BEL,0.2075,0.5768,0.5897,0.5256,0.4941,0.4503,0.4788,0.5205,0.5429,0.7017,0.5472,0.4286,0.7201,0.5461,0.5294,0.6667,0.6458
BGR,,0.0208,0.1795,0.0641,0.029,0.1255,0.2,0.0643,0.0505,0.0552,0.0433,0.2634,0.1639,0.3404,0.0235,0.5741,0.1111
CAN,0.703,0.7315,0.7051,0.4744,0.737,,0.9758,0.7874,0.729,0.7238,0.7559,0.8705,0.7468,0.7234,0.7412,0.7716,0.5764
CYP,,0.0412,0.2051,0.1154,0.1844,0.2915,,0.2082,0.0545,0.2707,0.4173,,0.175,0.2624,0.1647,0.4321,0.3264
CZE,0.2579,0.4946,0.3333,0.2821,0.5204,0.49,0.6727,0.3517,0.6642,0.4088,0.4921,0.8571,0.372,0.3972,0.4118,0.4444,0.3056
DEU,0.9736,0.7557,0.6282,0.5256,0.5054,0.7254,0.6667,0.7874,0.7228,0.5856,0.6614,0.7411,0.7744,0.5461,0.6471,0.8025,0.625
DNK,0.8348,0.9087,0.8462,0.8462,0.8227,0.8469,0.9758,0.9624,0.9467,1.0,1.0,0.9152,0.9042,0.5957,0.9882,0.8704,0.6389
ESP,0.0682,0.38,0.1026,0.2308,0.3206,0.5,0.4667,0.4424,0.4467,0.6354,0.2756,0.442,0.419,0.305,0.6471,0.4012,0.3958
EST,0.6983,0.8554,0.8846,0.7821,0.9214,0.8088,0.6545,0.7758,0.565,0.7403,0.7008,0.6205,0.9125,0.7163,0.8235,0.858,0.6181
FIN,0.8244,0.9527,0.8846,0.9487,0.9696,0.9974,1.0,0.8751,0.9382,0.8343,0.9055,1.0,0.8315,0.6809,0.8588,0.6605,0.7292
FRA,0.4277,0.3622,0.4744,0.5641,0.4344,0.5889,0.697,0.4735,0.6574,0.663,0.6339,0.8036,0.5322,0.4894,0.6706,0.6605,0.6042
GBR,0.6333,0.4497,0.5256,0.3846,0.7431,0.9028,0.8303,0.6572,0.7647,0.8122,0.748,0.5938,0.9024,0.6809,0.8706,0.7407,0.4653
GRC,0.0534,0.1097,0.5256,0.2051,0.0344,0.1715,0.3636,0.1565,0.0632,0.2486,0.2283,0.3839,0.1059,0.2553,0.0941,0.2901,0.4375
HKG,0.8314,0.8678,1.0,0.6538,0.8415,,0.5576,0.055,0.2109,0.1989,0.0,0.0268,0.8748,0.5106,0.6588,0.8704,0.7986
HUN,0.1998,0.2301,0.0769,0.2821,0.1972,0.1204,0.4788,0.0396,0.0565,0.2265,0.2677,0.0,0.4742,0.0851,0.1294,0.4074,0.3125
IRL,0.766,0.6897,0.8077,0.6154,0.7119,0.6366,0.7515,0.7758,0.5868,0.8508,0.4449,0.567,0.8932,0.7234,0.7647,0.716,0.6111
ISL,,0.5021,0.359,0.7436,0.8024,0.6734,,0.8095,0.915,0.8398,0.5945,,0.6713,0.5957,0.8706,0.8272,0.6042
ISR,0.3139,0.5508,0.7051,0.6923,0.7521,,0.7152,0.3813,0.4394,0.5359,0.2795,0.375,0.8748,0.3972,0.8353,0.6049,0.5903
ITA,0.1503,0.177,0.2692,0.4744,0.2446,0.3266,0.6061,0.2315,0.3,0.4088,0.3189,0.3304,0.4438,0.4823,0.5294,0.5617,0.5903
JPN,0.7355,0.8554,0.9487,0.7179,0.8438,,0.6303,0.8398,0.4911,0.547,0.6339,0.8393,0.9125,0.7518,0.9059,0.7469,0.625
KOR,0.9582,0.8777,0.4744,0.9744,0.7022,,0.5758,0.5361,0.6084,0.6188,0.4528,0.7455,0.8904,0.7872,0.9529,0.8457,0.8194
LTU,0.4009,0.3658,0.6282,0.1154,0.0979,0.2582,0.5697,0.3517,0.1314,0.4586,0.2126,0.5893,0.4411,0.2979,0.2588,0.3519,0.3819
LUX,0.7218,0.5694,0.4359,0.4231,0.5909,0.6177,,0.82,0.8228,0.8066,0.7913,0.942,0.7781,0.617,0.8353,0.6543,0.5625
LVA,0.0505,0.3009,0.7051,0.2821,0.4197,0.2423,0.6364,0.4424,0.3398,0.3536,0.3071,0.6652,0.4567,0.3262,0.2353,0.2654,0.4861
MKD,,0.0056,0.0513,0.0256,0.0204,0.2122,0.0303,0.013,0.0115,0.0,0.0591,,0.0,0.0,0.1059,0.0,0.0
MLT,,0.2388,0.3077,0.3333,0.6446,0.4015,,0.1473,0.0927,0.3923,0.1929,,0.3287,0.2837,0.5176,0.5309,0.3889
NLD,0.8941,0.7528,0.9744,0.7821,0.7246,0.9226,0.6667,0.7261,0.9359,0.8287,0.7205,0.8482,0.9006,0.7021,0.7765,0.716,0.6806
NOR,0.7866,0.7346,0.7692,0.8205,0.9228,0.8527,0.8909,0.911,0.8929,0.8508,0.8071,0.9062,1.0,1.0,1.0,0.7469,0.8403
NZL,0.5206,0.5209,0.5641,0.5897,0.6376,,0.6727,0.883,0.8629,0.6851,0.6614,0.9286,0.4595,0.617,0.4824,0.642,0.4722
POL,0.1884,0.5582,0.1538,0.1538,0.3073,0.2663,0.6485,0.282,0.2055,0.2762,0.2874,0.3884,0.4632,0.305,0.2706,0.4938,0.4931
PRT,0.1124,0.2079,0.3974,0.1795,0.3139,0.2346,0.6121,0.5048,0.6155,0.4862,0.3898,0.433,0.3923,0.4681,0.4471,0.3827,0.4861
ROU,,0.0233,0.0256,0.0641,0.0587,0.014,0.0,0.055,0.2624,0.1547,0.0866,0.4062,0.1013,0.1773,0.0,0.2593,0.0694
SGP,0.8382,0.9218,0.9231,1.0,0.7753,,0.9152,0.6572,0.565,0.5414,0.6614,0.7411,0.9466,0.7234,0.9765,1.0,0.7917
SVK,0.0181,0.2879,0.1282,0.359,0.0397,0.0704,0.503,0.1067,0.148,0.3204,0.2441,0.2411,0.2956,0.234,0.2706,0.3642,0.3264
SVN,0.1959,0.4646,0.2692,0.6538,0.0841,0.5497,0.7273,0.1864,0.3605,0.4641,0.2283,0.4286,0.3186,0.6099,0.4706,0.5864,0.4722
SWE,0.6071,0.9489,0.2308,0.9231,0.8846,0.8409,0.8121,0.9285,0.8996,0.9448,0.748,0.9464,0.8462,0.7163,0.8471,0.5679,0.5764
USA,0.6071,0.5804,0.3974,0.4231,0.5909,,0.6485,0.7758,0.5207,0.8619,0.5945,0.7232,0.954,0.9078,0.9059,0.8333,1.0
