country_iso3,AI_Literacy_score,AI_Literacy_coverage,AI_Literacy_observed,AI_Literacy_indicators,AI_Literacy_sufficient,Critical_Discernment_score,Critical_Discernment_coverage,Critical_Discernment_observed,Critical_Discernment_indicators,Critical_Discernment_sufficient,Institutional_Governance_score,Institutional_Governance_coverage,Institutional_Governance_observed,Institutional_Governance_indicators,Institutional_Governance_sufficient,Digital_Infrastructure_score,Digital_Infrastructure_coverage,Digital_Infrastructure_observed,Digital_Infrastructure_indicators,Digital_Infrastructure_sufficient
AUS,0.7498,1.0,4,4,True,0.7482,0.6667,2,3,True,0.6984,1.0,5,5,True,0.5693,1.0,5,5,True
AUT,0.6794,1.0,4,4,True,0.6524,1.0,3,3,True,0.6478,1.0,5,5,True,0.6288,1.0,5,5,True
BEL,0.4749,1.0,4,4,True,0.4744,1.0,3,3,True,0.5482,1.0,5,5,True,0.6216,1.0,5,5,True
BGR,0.0881,0.75,3,4,True,0.1182,1.0,3,3,True,0.0953,1.0,5,5,True,0.2426,1.0,5,5,True
CAN,0.6535,1.0,4,4,True,0.8564,0.6667,2,3,True,0.7733,1.0,5,5,True,0.7119,1.0,5,5,True
CYP,0.1206,0.75,3,4,True,0.238,0.6667,2,3,True,0.2377,0.8,4,5,True,0.2721,1.0,5,5,True
CZE,0.342,1.0,4,4,True,0.561,1.0,3,3,True,0.5548,1.0,5,5,True,0.3862,1.0,5,5,True
DEU,0.7208,1.0,4,4,True,0.6325,1.0,3,3,True,0.6997,1.0,5,5,True,0.679,1.0,5,5,True
DNK,0.859,1.0,4,4,True,0.8818,1.0,3,3,True,0.9649,1.0,5,5,True,0.7995,1.0,5,5,True
ESP,0.1954,1.0,4,4,True,0.4291,1.0,3,3,True,0.4484,1.0,5,5,True,0.4336,1.0,5,5,True
EST,0.8051,1.0,4,4,True,0.7949,1.0,3,3,True,0.6805,1.0,5,5,True,0.7857,1.0,5,5,True
FIN,0.9026,1.0,4,4,True,0.989,1.0,3,3,True,0.9106,1.0,5,5,True,0.7522,1.0,5,5,True
FRA,0.4571,1.0,4,4,True,0.5734,1.0,3,3,True,0.6463,1.0,5,5,True,0.5914,1.0,5,5,True
GBR,0.4983,1.0,4,4,True,0.8254,1.0,3,3,True,0.7152,1.0,5,5,True,0.732,1.0,5,5,True
GRC,0.2234,1.0,4,4,True,0.1898,1.0,3,3,True,0.2161,1.0,5,5,True,0.2366,1.0,5,5,True
HKG,0.8382,1.0,4,4,True,0.6996,0.6667,2,3,True,0.0983,1.0,5,5,True,0.7426,1.0,5,5,True
HUN,0.1972,1.0,4,4,True,0.2655,1.0,3,3,True,0.1181,1.0,5,5,True,0.2817,1.0,5,5,True
IRL,0.7197,1.0,4,4,True,0.7,1.0,3,3,True,0.6451,1.0,5,5,True,0.7417,1.0,5,5,True
ISL,0.5349,0.75,3,4,True,0.7379,0.6667,2,3,True,0.7897,0.8,4,5,True,0.7138,1.0,5,5,True
ISR,0.5655,1.0,4,4,True,0.7336,0.6667,2,3,True,0.4022,1.0,5,5,True,0.6605,1.0,5,5,True
ITA,0.2677,1.0,4,4,True,0.3924,1.0,3,3,True,0.3179,1.0,5,5,True,0.5215,1.0,5,5,True
JPN,0.8144,1.0,4,4,True,0.737,0.6667,2,3,True,0.6702,1.0,5,5,True,0.7884,1.0,5,5,True
KOR,0.8212,1.0,4,4,True,0.639,0.6667,2,3,True,0.5923,1.0,5,5,True,0.8591,1.0,5,5,True
LTU,0.3776,1.0,4,4,True,0.3086,1.0,3,3,True,0.3487,1.0,5,5,True,0.3463,1.0,5,5,True
LUX,0.5376,1.0,4,4,True,0.6043,0.6667,2,3,True,0.8365,1.0,5,5,True,0.6894,1.0,5,5,True
LVA,0.3346,1.0,4,4,True,0.4328,1.0,3,3,True,0.4216,1.0,5,5,True,0.3539,1.0,5,5,True
MKD,0.0275,0.75,3,4,True,0.0876,1.0,3,3,True,0.0209,0.8,4,5,True,0.0212,1.0,5,5,True
MLT,0.2933,0.75,3,4,True,0.523,0.6667,2,3,True,0.2063,0.8,4,5,True,0.41,1.0,5,5,True
NLD,0.8509,1.0,4,4,True,0.7713,1.0,3,3,True,0.8119,1.0,5,5,True,0.7552,1.0,5,5,True
NOR,0.7777,1.0,4,4,True,0.8888,1.0,3,3,True,0.8736,1.0,5,5,True,0.9174,1.0,5,5,True
NZL,0.5488,1.0,4,4,True,0.6551,0.6667,2,3,True,0.8042,1.0,5,5,True,0.5346,1.0,5,5,True
POL,0.2636,1.0,4,4,True,0.4074,1.0,3,3,True,0.2879,1.0,5,5,True,0.4051,1.0,5,5,True
PRT,0.2243,1.0,4,4,True,0.3869,1.0,3,3,True,0.4859,1.0,5,5,True,0.4353,1.0,5,5,True
ROU,0.0377,0.75,3,4,True,0.0242,1.0,3,3,True,0.193,1.0,5,5,True,0.1215,1.0,5,5,True
SGP,0.9208,1.0,4,4,True,0.8452,0.6667,2,3,True,0.6332,1.0,5,5,True,0.8876,1.0,5,5,True
SVK,0.1983,1.0,4,4,True,0.2044,1.0,3,3,True,0.2121,1.0,5,5,True,0.2982,1.0,5,5,True
SVN,0.3959,1.0,4,4,True,0.4537,1.0,3,3,True,0.3336,1.0,5,5,True,0.4915,1.0,5,5,True
SWE,0.6775,1.0,4,4,True,0.8459,1.0,3,3,True,0.8935,1.0,5,5,True,0.7108,1.0,5,5,True
USA,0.502,1.0,4,4,True,0.6197,0.6667,2,3,True,0.6952,1.0,5,5,True,0.9202,1.0,5,5,True
