country_iso3,country_name,indicator_id,value,year,unit,source_id,status,coverage_notes
AUS,Australia,AI_LIT_001,303.9,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
AUS,Australia,AI_LIT_002,528.6,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
AUS,Australia,AI_LIT_004,35.3,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
AUS,Australia,AI_LIT_005,87.6,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
AUS,Australia,META_COG_001,505.1,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
AUS,Australia,META_COG_002,,2023,index,EMLI_CouncilEurope,Missing,Non-European economy: not surveyed in Council of Europe / OSIS EMLI index
AUS,Australia,META_COG_003,67.2,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
AUS,Australia,DEC_AGY_001,4.43,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
AUS,Australia,DEC_AGY_002,0.832,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
AUS,Australia,DEC_AGY_003,92.8,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
AUS,Australia,DEC_AGY_004,0.832,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
AUS,Australia,DEC_AGY_005,0.83,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
AUS,Australia,ENAB_001,80.57,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
AUS,Australia,ENAB_002,0.762,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
AUS,Australia,ENAB_003,90.7,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
AUS,Australia,ENAB_004,0.842,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
AUS,Australia,ENAB_005,82.1,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
AUS,Australia,CAL_TRUST_001,61.4,2023,index,KPMG_AI_Trust,Observed,KPMG Trust in AI survey
AUS,Australia,ATT_WELL_001,6.7,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
AUS,Australia,ATT_WELL_002,17.6,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
AUT,Austria,AI_LIT_001,302.2,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
AUT,Austria,AI_LIT_002,525.4,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
AUT,Austria,AI_LIT_004,35.0,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
AUT,Austria,AI_LIT_005,88.7,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
AUT,Austria,META_COG_001,507.6,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
AUT,Austria,META_COG_002,73.8,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
AUT,Austria,META_COG_003,63.0,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
AUT,Austria,DEC_AGY_001,4.29,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
AUT,Austria,DEC_AGY_002,0.854,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
AUT,Austria,DEC_AGY_003,91.9,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
