country_iso3,readiness,exposure,gap,gap_status
AUS,0.6762652408449294,0.45,-0.226,Prepared
AUT,0.6532411855754517,0.514,-0.139,Prepared
BEL,0.5321913298792804,0.543,0.011,Balanced
BGR,0.1331455779599898,0.787,0.654,Critical Gap
CAN,0.7444255287074633,0.434,-0.31,Prepared
CYP,0.2410684519649591,0.762,0.521,Critical Gap
CZE,0.4635954370597153,0.634,0.17,Warning Gap
DEU,0.6800556333159471,0.439,-0.241,Prepared
DNK,0.8758556951256494,0.378,-0.498,Prepared
ESP,0.3772474137031011,0.655,0.278,Critical Gap
EST,0.7675198269059407,0.421,-0.347,Prepared
FIN,0.8898577927940838,0.357,-0.533,Prepared
FRA,0.5692801588334246,0.462,-0.107,Prepared
GBR,0.6954965671994265,0.424,-0.271,Prepared
GRC,0.2174570358199587,0.767,0.55,Critical Gap
HKG,0.5735073573477841,0.533,-0.041,Balanced
HUN,0.21952164965287,0.767,0.547,Critical Gap
IRL,0.7002763904318002,0.437,-0.263,Prepared
ISL,0.6817318652236181,0.508,-0.174,Prepared
ISR,0.5718093736407341,0.534,-0.038,Balanced
ITA,0.3769365996806372,0.655,0.278,Critical Gap
JPN,0.7512716244145592,0.449,-0.302,Prepared
KOR,0.7450988405043523,0.46,-0.285,Prepared
LTU,0.347551471900168,0.662,0.314,Critical Gap
LUX,0.6520872636701306,0.514,-0.138,Prepared
LVA,0.3860426387776319,0.652,0.266,Critical Gap
MKD,0.0422808570693625,0.809,0.767,Critical Gap
MLT,0.35799305580118,0.659,0.301,Critical Gap
NLD,0.7969640260546462,0.397,-0.4,Prepared
NOR,0.8646630030930818,0.363,-0.502,Prepared
NZL,0.623777161497481,0.521,-0.103,Prepared
POL,0.3435656419564108,0.663,0.319,Critical Gap
PRT,0.385003373018468,0.653,0.268,Critical Gap
ROU,0.0967146771960353,0.796,0.699,Critical Gap
SGP,0.8336284396250573,0.371,-0.463,Prepared
SVK,0.2287590605519838,0.765,0.536,Critical Gap
SVN,0.4213378978781426,0.644,0.223,Critical Gap
SWE,0.7843411664265934,0.4,-0.384,Prepared
USA,0.6717751515908931,0.408,-0.264,Prepared
