,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AUS_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
AUS_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
AUS_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
AUT_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
AUT_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
AUT_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
BEL_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
BEL_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
BEL_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
BGR_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
BGR_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
BGR_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
CAN_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
CAN_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
CAN_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
CYP_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
CYP_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
CYP_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
CZE_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
CZE_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
CZE_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
