country_iso3,composite_exposure,overall_score
AUS,0.45,0.6762652408449294
AUT,0.514,0.6532411855754517
BEL,0.543,0.5321913298792804
BGR,0.787,0.1331455779599898
CAN,0.434,0.7444255287074633
CYP,0.762,0.2410684519649591
CZE,0.634,0.4635954370597153
DEU,0.439,0.6800556333159471
DNK,0.378,0.8758556951256494
ESP,0.655,0.3772474137031011
EST,0.421,0.7675198269059407
FIN,0.357,0.8898577927940838
FRA,0.462,0.5692801588334246
GBR,0.424,0.6954965671994265
GRC,0.767,0.2174570358199587
HKG,0.533,0.5735073573477841
HUN,0.767,0.21952164965287
IRL,0.437,0.7002763904318002
ISL,0.508,0.6817318652236181
ISR,0.534,0.5718093736407341
ITA,0.655,0.3769365996806372
JPN,0.449,0.7512716244145592
KOR,0.46,0.7450988405043523
LTU,0.662,0.347551471900168
LUX,0.514,0.6520872636701306
LVA,0.652,0.3860426387776319
MKD,0.809,0.0422808570693625
MLT,0.659,0.35799305580118
NLD,0.397,0.7969640260546462
NOR,0.363,0.8646630030930818
NZL,0.521,0.623777161497481
POL,0.663,0.3435656419564108
PRT,0.653,0.385003373018468
ROU,0.796,0.0967146771960353
SGP,0.371,0.8336284396250573
SVK,0.765,0.2287590605519838
SVN,0.644,0.4213378978781426
SWE,0.4,0.7843411664265934
USA,0.408,0.6717751515908931
