country_iso3,overall_score,core_pillars_available,status,AI_Literacy_score,AI_Literacy_coverage,Critical_Discernment_score,Critical_Discernment_coverage,Institutional_Governance_score,Institutional_Governance_coverage,Digital_Infrastructure_score,Digital_Infrastructure_coverage
AUS,0.6762652408449294,4,Moderate capacity,0.7637283127295412,1.0,0.6736048971518084,1.0,0.6983913191261965,1.0,0.5693364343721719,1.0
AUT,0.6532411855754517,4,Moderate capacity,0.6975931285122691,1.0,0.638799074149127,1.0,0.6478342399241448,1.0,0.6287382997162659,1.0
BEL,0.5321913298792804,4,Developing capacity,0.5010770399187263,1.0,0.4578997815338195,1.0,0.5481715540023615,1.0,0.6216169440622142,1.0
BGR,0.1331455779599898,4,Limited capacity,0.08714999985794135,1.0,0.10747285485703423,1.0,0.09535058420653883,1.0,0.2426088729184448,1.0
CAN,0.7444255287074633,4,Moderate capacity,0.664879232678223,1.0,0.8276268272255428,1.0,0.7733257115316644,1.0,0.711870343394423,1.0
CYP,0.24106845196495916,4,Limited capacity,0.12739041438309637,1.0,0.30230365178769913,1.0,0.2624679729538396,1.0,0.2721117687352015,1.0
CZE,0.4635954370597153,4,Developing capacity,0.3685041105073897,1.0,0.544884390877494,1.0,0.5548062082675307,1.0,0.3861870385864469,1.0
DEU,0.6800556333159471,4,Moderate capacity,0.7198255492280985,1.0,0.6217192292989754,1.0,0.6996720100550096,1.0,0.6790057446817046,1.0
DNK,0.8758556951256494,4,Strong capacity,0.8634584116875866,1.0,0.875606448269501,1.0,0.9648629282118861,1.0,0.7994949923336238,1.0
ESP,0.3772474137031011,4,Limited capacity,0.2139452334031769,1.0,0.4130367436667413,1.0,0.4483956864984009,1.0,0.43361199124408556,1.0
EST,0.7675198269059407,4,Moderate capacity,0.816703033255682,1.0,0.7871980429812755,1.0,0.6804892842520643,1.0,0.7856889471347406,1.0
FIN,0.8898577927940838,4,Strong capacity,0.9076361478271467,1.0,0.9890187172744423,1.0,0.9106109461195672,1.0,0.752165359955179,1.0
FRA,0.5692801588334246,4,Developing capacity,0.48062220901688346,1.0,0.5588727308500718,1.0,0.6462579370254274,1.0,0.591367758441316,1.0
GBR,0.6954965671994265,4,Moderate capacity,0.5132239539305182,1.0,0.8216337156701448,1.0,0.7151582143057593,1.0,0.7319703848912841,1.0
GRC,0.21745703581995873,4,Limited capacity,0.24006801602480965,1.0,0.1770549952589893,1.0,0.2161144442382757,1.0,0.23659068775776038,1.0
HKG,0.5735073573477841,4,Developing capacity,0.8429435288611243,1.0,0.6101297565790953,1.0,0.09831352271345313,1.0,0.7426426212374636,1.0
