indicator_id,name,subcomponent,pillar,description,unit,direction,validity_rating,role,normalization,rationale,source_ids
AI_LIT_001,OECD PIAAC Adaptive Problem Solving,AI literacy & skills,AI_Literacy,Score assessing individuals' ability to solve problems in technology-rich environments,points,higher,High,Retained,z-score,Direct measure of cognitive skills relevant to AI interaction,PIAAC_OECD
AI_LIT_002,PISA Digital Reading Literacy,AI literacy & skills,AI_Literacy,Students' ability to access understand and reflect on digital texts,points,higher,High,Retained,z-score,Validated measure of digital literacy in youth population,PISA_OECD
AI_LIT_003,LinkedIn Global Skills Gap Index,AI literacy & skills,AI_Literacy,Composite measure of AI/ML skill demand vs supply in labor market,index,higher,Medium,Context-only,min-max,Reflects real-world AI skill scarcity but vendor-derived,LINKEDIN_LinkedIn
AI_LIT_004,Tertiary STEM Enrollment,AI literacy & skills,AI_Literacy,Percentage of university students in STEM fields,%,higher,Medium,Retained,rank,Proxy for technical workforce development,UNESCO_STEM
AI_LIT_005,ITU Digital Skills Index,AI literacy & skills,AI_Literacy,Composite of digital literacy adoption across population,index,higher,Low,Retained,rank,Broad coverage of foundational digital literacy,ITU_SKILLS
CAL_TRUST_001,KPMG-Melbourne AI Trust Study,Calibrated trust / verification behavior,Trust_Attitudes,Global survey measuring trust vs concern balance in AI,index,balanced,High,Context-only,min-max,Direct measure of trust calibration attitudes,KPMG_AI_Trust
CAL_TRUST_002,Ipsos AI Monitor,Calibrated trust / verification behavior,Trust_Attitudes,Multi-country survey on AI attitudes and behaviors,index,balanced,High,Context-only,min-max,Regular tracking with behavioral validation questions,IPSOS_AI_Monitor
CAL_TRUST_003,Pew Research AI Attitudes,Calibrated trust / verification behavior,Trust_Attitudes,U.S. and global attitudes toward AI automation,index,balanced,Medium,Context-only,min-max,Large samples but limited behavioral components,PEW_AI_Attitudes
CAL_TRUST_004,Edelman Trust Barometer AI,Calibrated trust / verification behavior,Trust_Attitudes,Trust in AI institutions and companies,index,balanced,Medium,Context-only,min-max,Measures institutional trust more than individual calibration,EDELMAN_AI_Trust
CAL_TRUST_005,Lloyd's Foundation World Risk Poll,Calibrated trust / verification behavior,Trust_Attitudes,Public attitudes toward technological risk,index,balanced,Low,Rejected,min-max,General risk attitudes not AI-specific,LLOYDS_2022
META_COG_001,PISA Reading Fact vs Opinion,Metacognition / independent judgment,Critical_Discernment,Ability to distinguish factual from opinion statements,points,higher,Medium,Retained,z-score,Valid measure of epistemic discernment,PISA_FACTOPIN_OECD
META_COG_002,European Media Literacy Index,Metacognition / independent judgment,Critical_Discernment,Composite media and information literacy for Europe,index,higher,Medium,Retained,z-score,Direct measure of critical evaluation skills,EMLI_CouncilEurope
META_COG_003,Reuters Institute Digital News Report,Metacognition / independent judgment,Critical_Discernment,Misinformation concern and news verification indicators,points,higher,Low,Retained,min-max,Measures news verification and discernment,REUTERS_2023
META_COG_004,MediaWise Digital Literacy,Metacognition / independent judgment,Critical_Discernment,Digital citizenship and critical thinking assessment,points,higher,Low,Rejected,min-max,General digital literacy not AI-specific,MEDIAWISE_2022
DEC_AGY_001,Worldwide Governance Indicators,Decision agency (institutional safeguards),Institutional_Governance,Rule of law and voice & accountability components,index,higher,High,Retained,z-score,Validated measure of institutional oversight,WGI_WorldBank
DEC_AGY_002,V-Dem Democracy Indices,Decision agency (institutional safeguards),Institutional_Governance,Liberal democracy and electoral democracy indices,index,higher,High,Retained,z-score,Comprehensive measure of institutional constraints,VDEM_Vdem
DEC_AGY_003,Freedom House Freedom in the World,Decision agency (institutional safeguards),Institutional_Governance,Political rights and civil liberties ratings,points,higher,Medium,Retained,min-max,Long-standing measure of democratic constraints,FREEDOM_House
DEC_AGY_004,OECD AI Policy Observatory,Decision agency (institutional safeguards),Institutional_Governance,AI governance framework strength,index,higher,High,Retained,min-max,Direct measure of AI-specific governance,OECD_AI_Policy
DEC_AGY_005,Stanford AI Index Policy Section,Decision agency (institutional safeguards),Institutional_Governance,AI regulation and policy tracking,index,higher,Medium,Retained,min-max,Comprehensive policy database,STANFORD_AI_Index
ATT_WELL_001,Daily Screen Time Average,Attentional control / wellbeing,Wellbeing_Context,Average daily screen time across population,hours,lower,Low,Context-only,min-max,Indirect proxy for attentional demands,SCREENTIME_Owlnut
ATT_WELL_002,WHO Mental Health Prevalence,Attentional control / wellbeing,Wellbeing_Context,Depression and anxiety disorder prevalence,%,lower,Medium,Context-only,min-max,Mental health affects attentional capacity,WELLBEING_WHO
ATT_WELL_003,HBSC Adolescent Wellbeing,Attentional control / wellbeing,Wellbeing_Context,Student life satisfaction and wellbeing,index,higher,Low,Rejected,min-max,Measures general wellbeing not attention,HBSC_2022
VALUE_001,World Values Survey Tradition vs Secularism,Value clarity,Value_Clarity,Traditional vs secular-rational values,index,balanced,Low,Rejected,min-max,Measures values not value clarity,WVS_2023
VALUE_002,EVS Values Importance Rankings,Value clarity,Value_Clarity,Importance placed on different values,index,balanced,Low,Rejected,min-max,Static values not dynamic clarity,EVS_2023
VALUE_003,European Social Survey Values,Value clarity,Value_Clarity,Value importance and consistency measures,index,balanced,Low,Rejected,min-max,Self-reported values not operational clarity,ESS_2023
ENAB_001,Oxford Insights Government AI Readiness,Enabling Environment,Digital_Infrastructure,Comprehensive government AI readiness index,index,higher,High,Retained,min-max,Benchmark for government AI strategy,OXFORD_AI
ENAB_002,IMF AI Preparedness Index,Enabling Environment,Digital_Infrastructure,Assessment of AI readiness and adoption,index,higher,High,Retained,min-max,IMF's official AI preparedness measure,IMF_AI
ENAB_003,ITU Development Index,Enabling Environment,Digital_Infrastructure,Infrastructure and connectivity readiness,index,higher,High,Retained,min-max,Connectivity foundation for AI access,ITU_DEVELOP
ENAB_004,World Bank Digital Adoption Index,Enabling Environment,Digital_Infrastructure,Digital technology adoption across economy,index,higher,Medium,Retained,min-max,General digital adoption proxy,WBDIGITAL_WB
