country_iso3,AI_Literacy_score,AI_Literacy_coverage,AI_Literacy_indicators,AI_Literacy_sufficient,Critical_Discernment_score,Critical_Discernment_coverage,Critical_Discernment_indicators,Critical_Discernment_sufficient,Institutional_Governance_score,Institutional_Governance_coverage,Institutional_Governance_indicators,Institutional_Governance_sufficient,Digital_Infrastructure_score,Digital_Infrastructure_coverage,Digital_Infrastructure_indicators,Digital_Infrastructure_sufficient
AUS,0.7637,Unverified,4,True,0.6736,Unverified,3,True,0.6984,Unverified,5,True,0.5693,Unverified,5,True
AUT,0.6976,Unverified,4,True,0.6388,Unverified,3,True,0.6478,Unverified,5,True,0.6287,Unverified,5,True
BEL,0.5011,Unverified,4,True,0.4579,Unverified,3,True,0.5482,Unverified,5,True,0.6216,Unverified,5,True
BGR,0.0871,Unverified,4,True,0.1075,Unverified,3,True,0.0954,Unverified,5,True,0.2426,Unverified,5,True
CAN,0.6649,Unverified,4,True,0.8276,Unverified,3,True,0.7733,Unverified,5,True,0.7119,Unverified,5,True
CYP,0.1274,Unverified,4,True,0.3023,Unverified,3,True,0.2625,Unverified,5,True,0.2721,Unverified,5,True
CZE,0.3685,Unverified,4,True,0.5449,Unverified,3,True,0.5548,Unverified,5,True,0.3862,Unverified,5,True
DEU,0.7198,Unverified,4,True,0.6217,Unverified,3,True,0.6997,Unverified,5,True,0.679,Unverified,5,True
DNK,0.8635,Unverified,4,True,0.8756,Unverified,3,True,0.9649,Unverified,5,True,0.7995,Unverified,5,True
ESP,0.2139,Unverified,4,True,0.413,Unverified,3,True,0.4484,Unverified,5,True,0.4336,Unverified,5,True
EST,0.8167,Unverified,4,True,0.7872,Unverified,3,True,0.6805,Unverified,5,True,0.7857,Unverified,5,True
FIN,0.9076,Unverified,4,True,0.989,Unverified,3,True,0.9106,Unverified,5,True,0.7522,Unverified,5,True
FRA,0.4806,Unverified,4,True,0.5589,Unverified,3,True,0.6463,Unverified,5,True,0.5914,Unverified,5,True
GBR,0.5132,Unverified,4,True,0.8216,Unverified,3,True,0.7152,Unverified,5,True,0.732,Unverified,5,True
GRC,0.2401,Unverified,4,True,0.1771,Unverified,3,True,0.2161,Unverified,5,True,0.2366,Unverified,5,True
HKG,0.8429,Unverified,4,True,0.6101,Unverified,3,True,0.0983,Unverified,5,True,0.7426,Unverified,5,True
HUN,0.2232,Unverified,4,True,0.255,Unverified,3,True,0.1181,Unverified,5,True,0.2817,Unverified,5,True
IRL,0.7278,Unverified,4,True,0.6866,Unverified,3,True,0.6451,Unverified,5,True,0.7417,Unverified,5,True
ISL,0.5151,Unverified,4,True,0.7422,Unverified,3,True,0.7559,Unverified,5,True,0.7138,Unverified,5,True
ISR,0.5917,Unverified,4,True,0.6328,Unverified,3,True,0.4022,Unverified,5,True,0.6605,Unverified,5,True
ITA,0.2923,Unverified,4,True,0.376,Unverified,3,True,0.3179,Unverified,5,True,0.5215,Unverified,5,True
JPN,0.8241,Unverified,4,True,0.7224,Unverified,3,True,0.6702,Unverified,5,True,0.7884,Unverified,5,True
KOR,0.8204,Unverified,4,True,0.7085,Unverified,3,True,0.5923,Unverified,5,True,0.8591,Unverified,5,True
LTU,0.4019,Unverified,4,True,0.2933,Unverified,3,True,0.3487,Unverified,5,True,0.3463,Unverified,5,True
LUX,0.5479,Unverified,4,True,0.5344,Unverified,3,True,0.8365,Unverified,5,True,0.6894,Unverified,5,True
LVA,0.3508,Unverified,4,True,0.4178,Unverified,3,True,0.4216,Unverified,5,True,0.354,Unverified,5,True
MKD,0.0211,Unverified,4,True,0.0735,Unverified,3,True,0.0533,Unverified,5,True,0.0212,Unverified,5,True
MLT,0.3234,Unverified,4,True,0.4916,Unverified,3,True,0.207,Unverified,5,True,0.41,Unverified,5,True
NLD,0.8525,Unverified,4,True,0.7684,Unverified,3,True,0.8119,Unverified,5,True,0.7552,Unverified,5,True
NOR,0.7847,Unverified,4,True,0.8829,Unverified,3,True,0.8736,Unverified,5,True,0.9174,Unverified,5,True
NZL,0.5689,Unverified,4,True,0.5874,Unverified,3,True,0.8042,Unverified,5,True,0.5346,Unverified,5,True
POL,0.2894,Unverified,4,True,0.3919,Unverified,3,True,0.2879,Unverified,5,True,0.4051,Unverified,5,True
PRT,0.2468,Unverified,4,True,0.3721,Unverified,3,True,0.4859,Unverified,5,True,0.4352,Unverified,5,True
ROU,0.0502,Unverified,4,True,0.0222,Unverified,3,True,0.193,Unverified,5,True,0.1215,Unverified,5,True
SGP,0.9251,Unverified,4,True,0.8886,Unverified,3,True,0.6332,Unverified,5,True,0.8876,Unverified,5,True
SVK,0.2077,Unverified,4,True,0.1971,Unverified,3,True,0.212,Unverified,5,True,0.2982,Unverified,5,True
SVN,0.4218,Unverified,4,True,0.4384,Unverified,3,True,0.3336,Unverified,5,True,0.4916,Unverified,5,True
SWE,0.6937,Unverified,4,True,0.8395,Unverified,3,True,0.8935,Unverified,5,True,0.7108,Unverified,5,True
USA,0.5182,Unverified,4,True,0.5535,Unverified,3,True,0.6952,Unverified,5,True,0.9202,Unverified,5,True
