country_iso3,readiness,exposure,gap,gap_status
AUS,0.6762,0.45,-0.226,Prepared
AUT,0.6532,0.514,-0.139,Prepared
BEL,0.5322,0.543,0.011,Balanced
BGR,0.1332,0.787,0.654,Critical Gap
CAN,0.7444,0.434,-0.31,Prepared
CYP,0.2411,0.762,0.521,Critical Gap
CZE,0.4636,0.634,0.17,Warning Gap
DEU,0.68,0.439,-0.241,Prepared
DNK,0.8759,0.378,-0.498,Prepared
ESP,0.3772,0.655,0.278,Critical Gap
EST,0.7675,0.421,-0.346,Prepared
FIN,0.8898,0.357,-0.533,Prepared
FRA,0.5693,0.462,-0.107,Prepared
GBR,0.6955,0.424,-0.272,Prepared
GRC,0.2175,0.767,0.55,Critical Gap
HKG,0.5735,0.533,-0.04,Balanced
HUN,0.2195,0.767,0.548,Critical Gap
IRL,0.7003,0.437,-0.263,Prepared
ISL,0.6818,0.508,-0.174,Prepared
ISR,0.5718,0.534,-0.038,Balanced
ITA,0.3769,0.655,0.278,Critical Gap
JPN,0.7513,0.449,-0.302,Prepared
KOR,0.7451,0.46,-0.285,Prepared
LTU,0.3476,0.662,0.314,Critical Gap
LUX,0.652,0.514,-0.138,Prepared
LVA,0.386,0.652,0.266,Critical Gap
MKD,0.0423,0.809,0.767,Critical Gap
MLT,0.358,0.659,0.301,Critical Gap
NLD,0.797,0.397,-0.4,Prepared
NOR,0.8646,0.363,-0.502,Prepared
NZL,0.6238,0.521,-0.103,Prepared
POL,0.3436,0.663,0.319,Critical Gap
PRT,0.385,0.653,0.268,Critical Gap
ROU,0.0967,0.796,0.699,Critical Gap
SGP,0.8336,0.371,-0.463,Prepared
SVK,0.2288,0.765,0.536,Critical Gap
SVN,0.4214,0.644,0.223,Critical Gap
SWE,0.7844,0.4,-0.384,Prepared
USA,0.6718,0.408,-0.264,Prepared
