country_iso3,plateau_crossing,steady_progress_crossing,takeoff_crossing
AUS,,2048,2029
AUT,,2043,2029
BEL,,2036,2028
BGR,2026,2026,2026
CAN,,2052,2030
CYP,2026,2026,2026
CZE,,2028,2027
DEU,,2049,2029
DNK,,2061,2031
ESP,2026,2026,2026
EST,,2054,2030
FIN,,2063,2031
FRA,,2042,2028
GBR,,2050,2029
GRC,2026,2026,2026
HKG,,2039,2028
HUN,2026,2026,2026
IRL,,2050,2029
ISL,,2045,2029
ISR,,2038,2028
ITA,2026,2026,2026
JPN,,2052,2030
KOR,,2051,2030
LTU,2026,2026,2026
LUX,,2043,2029
LVA,2026,2026,2026
MKD,2026,2026,2026
MLT,2026,2026,2026
NLD,,2056,2030
NOR,,2062,2031
NZL,,2042,2028
POL,2026,2026,2026
PRT,2026,2026,2026
ROU,2026,2026,2026
SGP,,2060,2031
SVK,2026,2026,2026
SVN,2026,2026,2026
SWE,,2056,2030
USA,,2050,2029
